,title,authors,where_published,year,doi
134,Stimulus expectations do not modulate visual event-related potentials in probabilistic cueing designs,"den Ouden C, Zhou A, Mepani V, Kovács G, Vogels R, Feuerriegel D.",Neuroimage,2023,10.1016/j.neuroimage.2023.120347
135,Prediction underlying comprehension of human motion: an analysis of Deaf signer and non-signer EEG in response to visual stimuli,"Malaia EA, Borneman SC, Borneman JD, Krebs J, Wilbur RB.",Front Neurosci,2023,10.3389/fnins.2023.1218510
136,What I see and what I feel: the influence of deceptive visual cues and interoceptive accuracy on affective valence and sense of effort during virtual reality cycling,"Mouatt B, Smith AE, Parfitt G, Stanford T, McDade J, Smith RT, Stanton TR.",PeerJ,2023,10.7717/peerj.16095
137,The Development of Predictive Gender Processing Strategies During Noun Phrase Decoding: An Eye-Tracking Study With German 5- to 10-Year-Old Children,"Günther T, Kirschenkern A, Mayer A, Steinke F, Cholewa J.",J Speech Lang Hear Res,2023,10.1044/2023_JSLHR-23-00100
138,The osteopath-parent-child triad in osteopathic care in the first 2 years of life: a qualitative study,"Accardi C, Cerritelli F, Bovo L, Esteves JE.",Front Psychol,2023,10.3389/fpsyg.2023.1253355
139,Relative fluency (unfelt vs felt) in active inference,"Brouillet D, Friston K.",Conscious Cogn,2023,10.1016/j.concog.2023.103579
140,Parameters of prediction: Multidimensional characterization of top-down influence in visual perception,"Ortiz-Tudela J, Nicholls VI, Clarke A.",Neurosci Biobehav Rev,2023,10.1016/j.neubiorev.2023.105369
141,Older Adults Show Intraindividual Variation in the Use of Predictive Processing,"Jongman SR, Copeland A, Xu Y, Payne BR, Federmeier KD.",Exp Aging Res,2023,10.1080/0361073X.2022.2137358
142,Robust multisensory deviance detection in the mouse parietal associative area,"Van Derveer AB, Ross JM, Hamm JP.",Curr Biol,2023,10.1016/j.cub.2023.08.002
143,"How 'visual' is the visual cortex? The interactions between the visual cortex and other sensory, motivational and motor systems as enabling factors for visual perception","Pennartz CMA, Oude Lohuis MN, Olcese U.",Philos Trans R Soc Lond B Biol Sci,2023,10.1098/rstb.2022.0336
144,Molecularly targetable cell types in mouse visual cortex have distinguishable prediction error responses,"O'Toole SM, Oyibo HK, Keller GB.",Neuron,2023,10.1016/j.neuron.2023.08.015
145,Aging attenuates the memory advantage for unexpected objects in real-world scenes,"Klever L, Islam J, Võ ML, Billino J.",Heliyon,2023,10.1016/j.heliyon.2023.e20241
146,"""What"" and ""when"" predictions modulate auditory processing in a mutually congruent manner","Cappotto D, Luo D, Lai HW, Peng F, Melloni L, Schnupp JWH, Auksztulewicz R.",Front Neurosci,2023,10.3389/fnins.2023.1180066
147,Markov chains as a proxy for the predictive memory representations underlying mismatch negativity,"Schröger E, Roeber U, Coy N.",Front Hum Neurosci,2023,10.3389/fnhum.2023.1249413
